Constituency_No,District,Constituency_Name,ADMK Coalition Candidate name,Party,Gender,Education,Age,Criminal Cases,Total Assets,Liabilities
89,Salem,SALEM (NORTH),G. Venkatachalam,ADMK,M,9th Std,57,0,26301483,3798115
90,Salem,SALEM (SOUTH),E. Balasubramanian,ADMK,M,Graduate,60,0,35609566,3975579
91,Salem,VEERAPANDI,M. Rajamuthu,ADMK,M,Graduate,52,0,36450974,922708
92,Namakkal,RASIPURAM,V. Saroja,ADMK,F,Doctor,72,0,64039669,7345207
93,Namakkal,SENDAMANGALAM,S. Chandran,ADMK,M,8th Std,55,0,9805607,8500000
94,Namakkal,NAMAKKAL,K. P. P. Baskar,ADMK,M,Diploma,51,0,112642047,65031968
95,Namakkal,PARAMATHI-VELUR,S. Sekar,ADMK,M,Diploma,50,0,22661492,6235983
96,Namakkal,TIRUCHENGODE,Pon. Saraswathi,ADMK,F,Graduate,60,1,124398755,8131069
97,Namakkal,KUMARAPALAYAM,P. Thangamani,ADMK,M,11th Fail,60,0,18681256,0
99,Erode,ERODE (WEST),K. V. Ramalingam,ADMK,M,Graduate,64,0,59186146,1906626
102,Tiruppur,KANGAYAM,A. S. Ramalingam,ADMK,M,12th Std,49,0,661647024,208115190
103,Erode,PERUNDURAI,S. Jayakumar,ADMK,M,Diploma,41,0,87219470,26934763
104,Erode,BHAVANI,K. C. Karuppannan,ADMK,M,10th Std,64,0,181870779,3763785
105,Erode,ANTHIYUR,K.S Shanmugavel,ADMK,M,10th Std,62,0,7970684,632194
106,Erode,GOBICHETTIPALAYAM,K. A. Sengottaiyan,ADMK,M,10th Std,73,4,123914561,9079186
107,Erode,BHAVANISAGAR,A. Bannari,ADMK,M,Graduate,41,0,2548917,1150000
109,Nilgiris,GUDALUR,Pon. Jayaseelan,ADMK,M,Graduate Professional,48,0,3110871,391174
110,Nilgiris,COONOOR,Kappachi D. Vinoth,ADMK,M,12th Std,38,0,4396076,339000
111,Coimbatore,METTUPALAYAM,K. Selvaraj,ADMK,M,Graduate,62,0,10470989,0
112,Tiruppur,AVANASHI,P. Dhanapal,ADMK,M,Post Graduate,69,0,49443148,18116143
113,Tiruppur,TIRUPPUR (NORTH),K. N. Vijayakumar,ADMK,M,6th Std,64,0,13608144,2305819
114,Tiruppur,TIRUPPUR (SOUTH),S. Gunasekaran,ADMK,M,12th Std,52,0,30997624,6415085
115,Tiruppur,PALLADAM,M. S. M. Anandan,ADMK,M,10th Std,59,0,79705395,103792
116,Coimbatore,SULUR,V. P. Kandasamy,ADMK,M,Graduate,62,0,43893608,1744770
117,Coimbatore,KAVUNDAMPALAYAM,P. R. G. Arunkumar,ADMK,M,10th Std,59,0,36589365,9595073
118,Coimbatore,COIMBATORE (NORTH),Amman K. Arjunan,ADMK,M,10th Std,63,0,127857802,13363587
119,Coimbatore,THONDAMUTHUR,S. P. Velumani,ADMK,M,Post Graduate,51,0,55931152,0
121,Coimbatore,SINGANALLUR,K. R. Jayaram,ADMK,M,10th Fail,47,0,903217625,230159014
122,Coimbatore,KINATHUKADAVU,S. Damodaran,ADMK,M,10th Std,69,0,51251260,0
123,Coimbatore,POLLACHI,Pollachi V. Jayaraman,ADMK,M,Doctorate,67,0,308896045,24961645
124,Coimbatore,VALPARAI,T. K. Amul Kandasamy,ADMK,M,10th Std,55,0,19754937,2865915
125,Tiruppur,UDUMALPET,Udumalai K. Radhakrishnan,ADMK,M,Graduate,55,0,21233053,288000
126,Tiruppur,MADATHUKULAM,C. Mahendran,ADMK,M,Graduate,49,0,529761686,60507817
127,Dindigul,PALANI,K. Ravi Manoharan,ADMK,M,Diploma,52,0,508094616,81075728
128,Dindigul,ODDANCHATRAM,N. P. Nataraj,ADMK,M,12th Std,52,3,83298010,27225594
130,Dindigul,NILAKOTTAI,S. Thenmozhi,ADMK,F,12th Std,59,0,174534231,2808246
131,Dindigul,NATHAM,Natham R. Viswanathan,ADMK,M,Graduate,71,3,46267279,0
132,Dindigul,DINDIGUL,Dindigul C. Sreenivaasan,ADMK,M,Post Graduate,72,0,77539989,0
133,Dindigul,VEDASANDUR,V. P. B. Paramasivam,ADMK,M,Doctor,40,0,104258034,0
135,Karur,KARUR,M.R. Vijayabhaskar,ADMK,M,11th ,55,5,90474209,13461006
136,Karur,KRISHNARAYAPURAM,N. Muthukumar @ Thanesh,ADMK,M,Graduate,41,3,31313316,3675035
137,Karur,KULITHALAI,N. R. Chandrasekhar,ADMK,M,12th Std,63,0,26769703,0
138,Tiruchirappalli,MANAPPARAI,R. Chandrasekhar,ADMK,M,10th Std,54,0,36159383,4513893
139,Tiruchirappalli,SRIRANGAM,K. P. Krishnan,ADMK,M,Graduate,70,0,64658670,16000000
140,Tiruchirappalli,TIRUCHIRAPALLI (WEST),V. Padmanathan,ADMK,M,Graduate,56,0,10698941,0
141,Tiruchirappalli,TIRUCHIRAPALLI (EAST),Vellamandi N. Natarajan,ADMK,M,10th Std,71,0,16633731,0
142,Tiruchirappalli,THIRUVERAMBUR,P. Kumar,ADMK,M,Graduate Professional,47,0,63218307,0
144,Tiruchirappalli,MANACHANALLUR,M. Paranjothi,ADMK,M,Post Graduate,60,0,16889342,0
145,Tiruchirappalli,MUSIRI,M. Selvarasu,ADMK,M,8th pass,54,0,19943550,3709000
146,Tiruchirappalli,THURAIYUR,T. Indira Gandhi,ADMK,F,Post Graduate,52,0,39662738,11265000
147,Perambalur,PERAMBALUR,R. Tamil Selvan,ADMK,M,Graduate,47,0,18756560,5476904
148,Perambalur,KUNNAM,R. T. Ramachandran,ADMK,M,9th pass,47,0,48271652,15675878
149,Ariyalur,ARIYALUR,Thamarai S. Rajendran,ADMK,M,9th,61,0,10781933,0
154,Cuddalore,PANRUTI,R. Rajendran,ADMK,M,12th Std,60,0,146804603,6010000
155,Cuddalore,CUDDALORE,M. C. Sampath,ADMK,M,Graduate,62,0,130520662,7432574
156,Cuddalore,KURINJIPADI,Selvi Ramajeyam,ADMK,F,10th Std,55,0,17198361,8701646
157,Cuddalore,BHUVANAGIRI,A. Arunmozhithevan,ADMK,M,Graduate,52,0,39471325,22022834
158,Cuddalore,CHIDAMBARAM,K. A. Pandiyan,ADMK,M,Post Graduate,60,0,62079604,10432505
159,Cuddalore,KATTUMANNARKOIL,N. Murugumaran,ADMK,M,Graduate,50,0,41438273,8023393
